keyword,202303,tot_cnt
economic,9,9
international,2,2
world,5,5
article,6,6
analyses,1,1
commons,1,1
free,1,1
forum,1,1
account,1,1
terms,12,12
public,2,2
accordance,2,2
create,3,3
publications,1,1
views,3,3
content,2,2
license,1,1
creative,1,1
access,4,4
latest,6,6
collection,1,1
author,1,1
world economic,1,1
free account,1,1
publications analyses,1,1
icahn,1,1
governance,2,2
economy,23,23
inflation,30,30
investor,2,2
corporate,1,1
carl,1,1
leadership,2,2
poor,3,3
cnbcs,1,1
worse,1,1
federal,15,15
policy,12,12
questionable,1,1
geniuses,1,1
mediocre,2,2
successful,1,1
issue,4,4
closing,1,1
changes,3,3
reserve,10,10
tuesday,13,13
choice,2,2
raider,1,1
mean,2,2
thats,8,8
major,6,6
longtime,1,1
ability,2,2
squash,1,1
governance icahn,1,1
economy trouble,1,1
worse mediocre,1,1
rates squash,1,1
sales,1,1
investment,10,10
gdp,13,13
zhou,1,1
appliances,1,1
expectations,9,9
early,4,4
decline,9,9
reuters,4,4
percentage,1,1
point,3,3
unemployment,5,5
grown,1,1
pace,11,11
highquality,3,3
district,3,3
postings,1,1
bigticket,2,2
surprising,3,3
inadequate,1,1
jll,1,1
getty,1,1
stringent,3,3
positions,1,1
bruce,1,1
categories,3,3
beneficial,1,1
covid,3,3
controls,2,2
sales growth,1,1
china wednesday,1,1
focusing rapid,1,1
external environment,1,1
tourism,2,2
currency,1,1
hospitality,2,2
countrys,3,3
industry,3,3
nation,1,1
foreign,4,4
postcolonial,1,1
contract,1,1
crisis,6,6
health,2,2
worst,1,1
people,3,3
history,2,2
biggest,4,4
source,4,4
hard,1,1
principal,2,2
island nation,1,1
worst health,1,1
salaries,4,4
recession,15,15
layoffs,9,9
employers,1,1
sector,18,18
abovemarket,1,1
work,3,3
cost,11,11
stabilization,2,2
merit,1,1
annual,5,5
fall,3,3
officials,1,1
longterm,10,10
educate,2,2
numbers,3,3
positive,4,4
smaller,2,2
bonus,1,1
cycle,2,2
fears,3,3
proactive,1,1
offers,1,1
ryan,1,1
york,3,3
performancedriven,1,1
mary,1,1
outlook,23,23
rizzuti,1,1
navigate,1,1
think modest,1,1
navigate new,1,1
playstation,1,1
zippys,1,1
pakistans,1,1
ecommerce,2,2
peertopeer,1,1
samain,1,1
scams,2,2
subscribers,1,1
equipment,1,1
comedian,1,1
abids,1,1
belowmarket,1,1
mismanagement,2,2
rupeesaround,1,1
delivery,2,2
trusted,1,1
appeal,1,1
scrape,1,1
havent,3,3
hope,2,2
hungryon,1,1
unbanked,1,1
buck,1,1
times,4,4
tax,5,5
startups,7,7
fastgrowing,1,1
cofounder,3,3
metric,1,1
transition,3,3
informal,4,4
dread,1,1
spreadsheet,1,1
pakistans gamers,1,1
buck ecommerce,1,1
scrape 120000,1,1
took samain,1,1
null,22,22
forecast,5,5
rajya,1,1
india,3,3
pandemic,20,20
uncertainty,4,4
sabha,1,1
funds,1,1
government,2,2
minister,10,10
global,13,13
make,2,2
pankaj,1,1
year,4,4
output,2,2
imfs,1,1
outbreak,1,1
help,1,1
size,3,3
russiaukraine,2,2
house,1,1
steps,3,3
state,6,6
conflict,1,1
upper,1,1
cross,1,1
india trillion,1,1
lower uncertainty,1,1
russiaukraine conflict,1,1
steps make,1,1
outlook help,1,1
airlines,4,4
economyclass,2,2
hotels,1,1
meals,2,2
premium,1,1
amenity,1,1
dreamliner,1,1
comfortable,2,2
legroom,2,2
gourmet,1,1
a350,1,1
soba,1,1
order,1,1
regardless,2,2
longhaul,2,2
competitor,2,2
trends,8,8
similar,3,3
tip,2,2
afar,2,2
niceties,1,1
gin,2,2
configuration,2,2
bookmark,2,2
karite,1,1
reusable,1,1
benedictine,1,1
flag,3,3
lag,4,4
measure,4,4
nerd,1,1
japan airlines,2,2
snacks expect,2,2
reusable amenity,1,1
plum wine,1,1
banks,10,10
venture,2,2
innovations,2,2
industryspecific,1,1
firm,1,1
tech,2,2
vast,2,2
svb,4,4
longerterm,3,3
francisco,1,1
women,4,4
communities,2,2
famous,1,1
carolina,2,2
todays,5,5
national,10,10
rates,16,16
fluctuations,2,2
rust,1,1
median,6,6
attention,3,3
paths,1,1
overall,4,4
likely,13,13
concurrent,1,1
operators,5,5
received,1,1
banks venture,1,1
states silicon,1,1
longerterm crisis,1,1
employees median,1,1
different stereotype,1,1
businesses,4,4
shortage,1,1
innovation,3,3
professionals,1,1
gig,2,2
reliance,5,5
solopreneurs,1,1
fulltime,1,1
wealthy,1,1
deployment,3,3
supports,7,7
pros,1,1
couple,4,4
departments,1,1
types,3,3
legal,3,3
independence,2,2
contributors,1,1
security,3,3
larry,1,1
enthusiasm,1,1
average,17,17
rudimentary,1,1
mckendrick,1,1
thai,2,2
postlayoff,1,1
think,3,3
ready,2,2
cloud professionals,1,1
innovation hindered,1,1
calling solopreneurs,1,1
